Review,Ratings,Reviewer,Date_Posted,product_title,tcin_number,upc_number,item_number,artautomationid,sentiment_date,recommendation,negative,neutral,positive,emotion
i never thought that i would be sporting slim fit jeans but i decided to give these a try the tapered cut provides a bit of breathing room but still keeps the jeans slim fitting i purchased a second pair and i would purchase another if there was a darker wash,4 out of 5 stars,ReviewinginAZ,2 years ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.1287712,0.38362107,0.48760778,positive
these jeans are not tapered the bottom of the jeans were still wide and went right over the entire shoe and that makes them look baggy not slim or tapered dont buy these,5 out of 5 stars,Slimjim,2 years ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.91718245,0.07706657,0.00575104,negative
i love this brand of jeans great fit and color,1 out of 5 stars,Florinda Enriquez,2 years ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.00299806,0.0073323254,0.9896696,positive
great cut style on these 512s i got these from a store in nm light grey ripped ones the waistseat and thigh is greatplenty of room if you have some size in that area as i dobut also still cut tailored enough to where it still looks modern and cleaned upnot much excess material or baggage the knee to the ankle is solid just inside of straight cut to mei can still fit these over my ariat boots snd they look good from the shaft to the anklenot too tight,5 out of 5 stars,Brandon,2 years ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.06610518,0.19523801,0.73865676,positive
i need jeans that fit above my waist what number of jeans do i order please,5 out of 5 stars,,2 years ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.38429552,0.32845435,0.2872502,negative
for me the 512s are perfect i dont have to take them to the tailor target though i do feel compelled to say the guy wearing the light blue jeans should not be wearing those they just dont work for him,4 out of 5 stars,Andrew,2 years ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.018862545,0.11556854,0.865569,positive
i am pleased with this replacement for my 522 jeans in black,5 out of 5 stars,Paul,2 years ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.005276369,0.026456663,0.96826696,positive
levis continues delivering quality products im very pleased with my new jeans they fit perfectly,5 out of 5 stars,Roberto,2 years ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.0027394136,0.008525512,0.98873514,positive
great fitting jeans,5 out of 5 stars,Chris,2 years ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.009812542,0.029448595,0.96073884,positive
happy that my target is carrying levis jeans i like the 512 for the slim fit and tapered legs i got three pairs two in blue and one in black love the fit and stretch,5 out of 5 stars,GuidoMke,2 years ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.009053841,0.042325314,0.9486208,positive
i absolutely love these jeans nice slim hips a slim taper leg denim with no stretch  i think im going to live in them most womens jeans dont fit me right  too much room in the hips and thighs which is why ive always preferred mens styles and these are perfect i knew i could count on levis,5 out of 5 stars,California Girl,2 years ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.014114945,0.024081552,0.9618035,positive
im very happy with my purchase pretty color and my son love it,5 out of 5 stars,Loreen,3 years ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.0036561643,0.016491724,0.97985214,positive
this is the only levis that fit properly no sagging being slender had challenges buying jeans until i found these,5 out of 5 stars,Larryde,3 years ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.21378285,0.18801217,0.598205,positive
they were for my husbands birthday he loved they way the fit felt  the colors ,5 out of 5 stars,Imjustcat,3 years ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.03323338,0.093074806,0.8736918,positive
first pair of levis great fit good quality i have no complaints at all,5 out of 5 stars,vaux,3 years ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.0042153765,0.013904543,0.98188007,positive
i like 512 because it fits best for my body i also got a size down for best fit im 56 and i purchased 28x30,5 out of 5 stars,Buzz,3 years ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.023948539,0.11052709,0.8655244,positive
i bought these for my son in the light color distressed style they were very soft and fit perfectly on him he loves them,5 out of 5 stars,Tishawisha,3 years ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.007914173,0.02997185,0.962114,positive
i was hoping that these would come without the flex fit blended cotton the last 2 pairs i got were 100 denim the cuts are different somehow they are looser than they should be they dont fit or feel right,5 out of 5 stars,Happy to be here,3 years ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.55349725,0.38414857,0.062354177,negative
normally wear size 31x30 but couldnt find at target store so just grabbed the last 30x30 hoping theyd fit they are a little tight in the leg but i think 31 waist will fix this issue they do have a little stretch in them other than that they fit nicely i have another pair of levis that are different wash and i wear those all the time but now have a hole in the seam,1 out of 5 stars,MelR,3 years ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.15703212,0.46501252,0.3779554,neutral
shown with brown tag on back and tag is black not what i was shown really irritating levis,5 out of 5 stars,,3 years ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.6759801,0.27715695,0.046863023,negative
like some of the reviewers have stated its a bit tightsmall for my taste i only wished they offered this color in the 511 style i prefer the 511 fit on me but overall the fabric and quality is premium,1 out of 5 stars,Keo Ung,3 years ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.08663247,0.4882116,0.42515588,neutral
i bought them and they dont fit correct the slim fit is too tight for me,4 out of 5 stars,Tyler Knight,3 years ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.53431284,0.41891032,0.046776816,negative
love the 512 cut but the fit apparently varies between either certain washes or pair to pair in general i have two blackgrey pair that fit like a dream and the bluer washes fit a lot looser with this most recent and particular wash fitting the loosest pretty baggy,1 out of 5 stars,Charles,4 years ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.091102,0.49585235,0.4130457,neutral
512 jeans fit and look great  gretna outlet mall is awesome ,3 out of 5 stars,Monte,4 years ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.0046817083,0.011105833,0.9842124,positive
i bought the native cali expecting grey but its definitely just black i dont need another pair of black jeans,5 out of 5 stars,J451,4 years ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.56853926,0.36596417,0.06549654,negative
fits perfectly through the thighs and knee below the knee is a little bit tighter than anticipated but it works well with the overall taper great quality and color i wish i could get these with a button fly,2 out of 5 stars,Dustin M,4 years ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.003419707,0.037035145,0.9595452,positive
i had to purchase 12 pairs of the subject jeans to get 4 pair that fit correctly the issue is the size i ordered is 35x34 when i tried on each pair they felt like the lengths were 32 inches vice 34 it seemed as if each person who made the jeans had a different interpretation of what 34 inches represented,5 out of 5 stars,Geo.,4 years ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.640059,0.27834597,0.08159517,negative
was expecting to see white warp like in raw denim just black instead of indigo instead i got overdyed black im considering returning it fits well though i just didnt want an overdyed black denim the picture looks like you can see the white warp when you zoom in,1 out of 5 stars,Michael,4 years ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.47622216,0.4358361,0.08794182,negative
i really like the way these jeans fit on me i find them very comfortable on my days off im always wearing them out theyre also very stylish i recommend everyone having a pair of these in their closet,2 out of 5 stars,Doctor D,4 years ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.0021858276,0.021260422,0.9765538,positive
so i had no idea these were mens as i found them in the womens section in store i love the fit of them but they definitely run a size too small zero stretch not sure if my review is helpful at all but leaving it just in case,5 out of 5 stars,lexxolivia,4 years ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.44531375,0.49558473,0.059101593,neutral
it fits weird i thing it was gonna be the same as the other 512 this one it fits looser,2 out of 5 stars,Fran,4 years ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.45965177,0.4027395,0.13760868,negative
